venue,team,matches,wins,losses,win_rate,lose_rate
Seddon Park,Pakistan,7,2,5,0.29,0.71
Seddon Park,South Africa,9,5,2,0.56,0.22
Hagley Oval,South Africa,1,0,1,0.0,1.0
Westpac Stadium,South Africa,4,3,1,0.75,0.25
University Oval,South Africa,2,0,0,0.0,0.0
Edgbaston,South Africa,6,2,4,0.33,0.67
Kennington Oval,India,12,4,7,0.33,0.58
Sophia Gardens,Bangladesh,3,2,1,0.67,0.33
Sophia Gardens,Pakistan,7,3,3,0.43,0.43
Edgbaston,Bangladesh,3,0,3,0.0,1.0
"Sir Vivian Richards Stadium, North Sound",India,7,3,4,0.43,0.57
"Darren Sammy National Cricket Stadium, Gros Islet",West Indies,1,0,1,0.0,1.0
"Darren Sammy National Cricket Stadium, Gros Islet",India,1,1,0,1.0,0.0
Docklands Stadium,Perth Scorchers,7,6,1,0.86,0.14
Bellerive Oval,Adelaide Strikers,9,1,6,0.11,0.67
North Sydney Oval,Adelaide Strikers,3,3,0,1.0,0.0
North Sydney Oval No.2,Adelaide Strikers,1,0,1,0.0,1.0
North Sydney Oval No.2,Melbourne Renegades,1,1,0,1.0,0.0
Lavington Sports Oval,Melbourne Stars,2,0,2,0.0,1.0
Lavington Sports Oval,Sydney Thunder,2,2,0,1.0,0.0
Queen Elizabeth II Oval,Hobart Hurricanes,2,1,0,0.5,0.0
Queen Elizabeth II Oval,Melbourne Renegades,2,0,1,0.0,0.5
Blacktown International Sportspark,Sydney Thunder,5,3,1,0.6,0.2
Camberwell Sports Ground,Perth Scorchers,3,1,2,0.33,0.67
County Ground,Ireland,1,0,1,0.0,1.0
Green Park,New Zealand,2,0,2,0.0,1.0
Eden Gardens,New Zealand,2,1,1,0.5,0.5
Holkar Cricket Stadium,New Zealand,1,0,1,0.0,1.0
Himachal Pradesh Cricket Association Stadium,India,7,3,4,0.43,0.57
"Punjab Cricket Association Stadium, Mohali",New Zealand,3,1,2,0.33,0.67
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,New Zealand,1,0,1,0.0,1.0
Trent Bridge,South Africa,6,4,2,0.67,0.33
Riverside Ground,West Indies,5,1,4,0.2,0.8
Malahide,Bangladesh,2,1,0,0.5,0.0
Clontarf Cricket Club Ground,Bangladesh,2,1,1,0.5,0.5
Clontarf Cricket Club Ground,New Zealand,2,1,1,0.5,0.5
Garon Park,Netherlands,1,0,1,0.0,1.0
Garon Park,Scotland,1,1,0,1.0,0.0
Saurashtra Cricket Association Stadium,India,8,4,3,0.5,0.38
Saurashtra Cricket Association Stadium,England,2,1,0,0.5,0.0
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,England,1,0,1,0.0,1.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",England,2,0,2,0.0,1.0
Barabati Stadium,England,2,0,2,0.0,1.0
Eden Gardens,England,5,3,2,0.6,0.4
Green Park,England,2,1,1,0.5,0.5
M Chinnaswamy Stadium,England,5,1,3,0.2,0.6
"County Ground, Chelmsford",Loughborough Lightning,1,0,1,0.0,1.0
"County Ground, Chelmsford",Western Storm,6,5,1,0.83,0.17
"County Ground, Chelmsford",Southern Vipers,5,4,1,0.8,0.2
"Traeger Park, Alice Springs",Victoria,1,0,0,0.0,0.0
"Traeger Park, Alice Springs",South Australia,1,0,0,0.0,0.0
Sheikh Kamal International Cricket Stadium,South Africa,2,2,0,1.0,0.0
Central Broward Regional Park Stadium Turf Ground,India,4,2,1,0.5,0.25
Central Broward Regional Park Stadium Turf Ground,West Indies,8,3,4,0.38,0.5
"Rajiv Gandhi International Stadium, Uppal",Bangladesh,1,0,1,0.0,1.0
Manuka Oval,South Africa,5,2,3,0.4,0.6
International Sports Stadium,Australia,2,2,0,1.0,0.0
International Sports Stadium,South Africa,1,0,1,0.0,1.0
"Simonds Stadium, South Geelong",New Zealand,1,1,0,1.0,0.0
Khettarama Stadium,Sri Lanka,1,0,1,0.0,1.0
Khettarama Stadium,Australia,1,1,0,1.0,0.0
Sinhalese Sports Club Ground,Australia,3,1,1,0.33,0.33
Skarpnack 1,Gibraltar,2,0,2,0.0,1.0
Skarpnack 1,Israel,1,1,0,1.0,0.0
Skarpnack 1,Isle of Man,1,1,0,1.0,0.0
Skarpnack 2,Israel,1,0,1,0.0,1.0
Skarpnack 2,Spain,1,1,0,1.0,0.0
Johor Cricket Academy Oval,Malaysia,5,4,1,0.8,0.2
Johor Cricket Academy Oval,Singapore,3,1,2,0.33,0.67
Eden Park No 2,New Zealand,1,1,0,1.0,0.0
Eden Park No 2,Australia,1,0,1,0.0,1.0
Bay Oval,Australia,5,4,1,0.8,0.2
Saxton Oval,Otago Volts,1,0,0,0.0,0.0
Bay Oval,Wellington Firebirds,2,1,1,0.5,0.5
Bay Oval,Auckland Aces,2,0,1,0.0,0.5
Hagley Oval,Central Stags,2,1,1,0.5,0.5
Kennards Hire Community Oval,Wellington Firebirds,3,0,1,0.0,0.33
University of Otago Oval,Wellington Firebirds,4,1,1,0.25,0.25
Nelson Park,Central Stags,2,0,0,0.0,0.0
Nelson Park,Northern Districts,2,0,0,0.0,0.0
Colin Maiden Park,Central Stags,1,0,0,0.0,0.0
Eden Park,Auckland Aces,1,0,0,0.0,0.0
Eden Park,Canterbury,1,0,0,0.0,0.0
Seddon Park,Central Stags,2,0,1,0.0,0.5
Westpac Stadium,Wellington Firebirds,1,0,0,0.0,0.0
Westpac Stadium,Otago Volts,1,0,0,0.0,0.0
Hagley Oval,Otago Volts,4,1,2,0.25,0.5
Gymkhana Club Ground,Saudi Arabia,1,1,0,1.0,0.0
Jaffery Sports Club Ground,Uganda,1,0,1,0.0,1.0
Gymkhana Club Ground,Uganda,1,0,1,0.0,1.0
"Wright Cricket Field, Woodley Park",Italy,2,1,1,0.5,0.5
"Severn Cricket Field, Woodley Park",Bermuda,1,0,1,0.0,1.0
"Severn Cricket Field, Woodley Park",Oman,3,2,1,0.67,0.33
"Wong Cricket Field, Woodley Park",Italy,2,0,2,0.0,1.0
"Severn Cricket Field, Woodley Park",Italy,1,0,1,0.0,1.0
"Severn Cricket Field, Woodley Park",Jersey,1,1,0,1.0,0.0
"Wright Cricket Field, Woodley Park",United States of America,1,1,0,1.0,0.0
"Wright Cricket Field, Woodley Park",Oman,1,0,1,0.0,1.0
"Wong Cricket Field, Woodley Park",Bermuda,1,1,0,1.0,0.0
"Wong Cricket Field, Woodley Park",Denmark,1,0,1,0.0,1.0
"Wong Cricket Field, Woodley Park",Oman,1,1,0,1.0,0.0
Sinhalese Sports Club Ground,England,3,2,0,0.67,0.0
"Zahur Ahmed Chowdhury Stadium, Chittagong",Dhaka Dynamites,7,2,5,0.29,0.71
Sano International Cricket Ground,China,1,0,1,0.0,1.0
Aurora Stadium,Sydney Thunder,3,2,1,0.67,0.33
Lilac Hill Park,Melbourne Stars,2,1,1,0.5,0.5
Lilac Hill Park,Adelaide Strikers,1,0,1,0.0,1.0
W.A.C.A. Ground,Adelaide Strikers,2,0,2,0.0,1.0
Allan Border Field,Melbourne Renegades,3,1,2,0.33,0.67
Lilac Hill Park,Perth Scorchers,9,8,1,0.89,0.11
Lilac Hill Park,Sydney Thunder,3,0,3,0.0,1.0
Asian Institute of Technology Ground,India,1,1,0,1.0,0.0
Asian Institute of Technology Ground,Pakistan,1,0,1,0.0,1.0
Riverside Ground,Northamptonshire,6,1,5,0.17,0.83
Arundel Castle Cricket Club Ground,Glamorgan,1,1,0,1.0,0.0
Aigburth,Lancashire,2,1,1,0.5,0.5
Aigburth,Leicestershire,1,1,0,1.0,0.0
The Kent County Cricket Ground,Essex,1,0,1,0.0,1.0
College Ground,Kent,2,1,1,0.5,0.5
Edgbaston,Northamptonshire,12,8,3,0.67,0.25
"County Ground, New Road",Leicestershire,3,2,1,0.67,0.33
Sophia Gardens,Somerset,6,3,2,0.5,0.33
College Ground,Sussex,1,0,0,0.0,0.0
St Lawrence Ground,Gloucestershire,4,3,1,0.75,0.25
Old Deer Park,Kent,1,0,1,0.0,1.0
The Rose Bowl,Sussex,5,4,1,0.8,0.2
Headingley,Warwickshire,4,1,3,0.25,0.75
Trent Bridge,Northamptonshire,3,0,3,0.0,1.0
Old Trafford,Durham,7,4,3,0.57,0.43
Headingley,Durham,7,2,5,0.29,0.71
Trent Bridge,Yorkshire,7,1,6,0.14,0.86
St Lawrence Ground,Glamorgan,1,1,0,1.0,0.0
The Cooper Associates County Ground,Sussex,2,1,1,0.5,0.5
Grace Road,Nottinghamshire,5,3,1,0.6,0.2
Kennington Oval,Glamorgan,6,5,1,0.83,0.17
The Rose Bowl,Essex,7,3,2,0.43,0.29
The Cooper Associates County Ground,Surrey,4,1,3,0.25,0.75
St Lawrence Ground,Hampshire,5,3,1,0.6,0.2
Trent Bridge,Warwickshire,4,2,2,0.5,0.5
Grace Road,Yorkshire,4,1,2,0.25,0.5
"County Ground, New Road",Nottinghamshire,4,4,0,1.0,0.0
Riverside Ground,Warwickshire,2,2,0,1.0,0.0
The Cooper Associates County Ground,Glamorgan,6,3,3,0.5,0.5
Uxbridge Cricket Club Ground,Gloucestershire,2,1,1,0.5,0.5
Old Trafford,Worcestershire,6,2,4,0.33,0.67
Sophia Gardens,Middlesex,3,1,2,0.33,0.67
The Rose Bowl,Somerset,6,4,2,0.67,0.33
Old Trafford,Warwickshire,4,2,2,0.5,0.5
Sophia Gardens,Leicestershire,1,0,1,0.0,1.0
Trent Bridge,Somerset,1,0,1,0.0,1.0
Kennington Oval,Warwickshire,1,1,0,1.0,0.0
Edgbaston,Glamorgan,3,0,3,0.0,1.0
"County Ground, Bristol",Glamorgan,8,5,1,0.62,0.12
"County Ground, Hove",Somerset,5,4,0,0.8,0.0
"Grace Road, Leicester",Warwickshire,5,2,3,0.4,0.6
"The Rose Bowl, Southampton",Middlesex,12,2,6,0.17,0.5
"Headingley, Leeds",Durham,8,2,4,0.25,0.5
"County Ground, Chelmsford",Gloucestershire,10,3,6,0.3,0.6
"Roseworth Terrace, Gosforth",Leicestershire,1,0,1,0.0,1.0
"Welbeck Colliery Cricket Club Ground, Market Warsop",Leicestershire,1,0,1,0.0,1.0
"Radlett Cricket Club, Radlett",Glamorgan,4,0,3,0.0,0.75
"Stanley Park, Blackpool",Derbyshire,1,0,1,0.0,1.0
"County Ground, Bristol",Somerset,11,5,5,0.45,0.45
"The Saffrons, Eastbourne",Sussex,3,0,3,0.0,1.0
"The Saffrons, Eastbourne",Gloucestershire,2,2,0,1.0,0.0
"St Helen's, Swansea",Glamorgan,8,2,4,0.25,0.5
"St Helen's, Swansea",Kent,1,0,1,0.0,1.0
"County Ground, Chelmsford",Nottinghamshire,6,4,2,0.67,0.33
"Kennington Oval, London",Warwickshire,7,0,6,0.0,0.86
"Trafalgar Road Ground, Southport",Middlesex,1,0,1,0.0,1.0
"Trafalgar Road Ground, Southport",Lancashire,6,3,1,0.5,0.17
"Woodbridge Road, Guildford",Essex,1,1,0,1.0,0.0
"Lord's, London",Yorkshire,4,0,4,0.0,1.0
"North Marine Road Ground, Scarborough",Essex,3,2,1,0.67,0.33
"Old Trafford, Manchester",Warwickshire,8,1,2,0.12,0.25
"Headingley, Leeds",Middlesex,3,0,1,0.0,0.33
"County Ground, Taunton",Lancashire,4,0,1,0.0,0.25
Uxbridge Cricket Club Ground,Hampshire,2,0,1,0.0,0.5
"Trent Bridge, Nottingham",Gloucestershire,2,1,1,0.5,0.5
"St Helen's, Swansea",Durham,1,0,1,0.0,1.0
"County Ground, Hove",Worcestershire,7,2,2,0.29,0.29
"Riverside Ground, Chester-le-Street",Glamorgan,5,0,3,0.0,0.6
"Trent Bridge, Nottingham",Kent,6,3,1,0.5,0.17
"Queen's Park, Chesterfield",Durham,1,1,0,1.0,0.0
"College Ground, Cheltenham",Glamorgan,4,0,2,0.0,0.5
"County Ground, Northampton",Gloucestershire,7,1,3,0.14,0.43
"Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay",Sussex,1,1,0,1.0,0.0
"County Ground, Derby",Glamorgan,10,3,3,0.3,0.3
"Riverside Ground, Chester-le-Street",Kent,3,1,0,0.33,0.0
"County Ground, Bristol",Derbyshire,7,2,1,0.29,0.14
Tribhuvan University International Cricket Ground,Kenya,2,1,1,0.5,0.5
Perth Stadium,England,2,2,0,1.0,0.0
Seddon Park,England,8,2,5,0.25,0.62
Mercantile Cricket Association Ground,Ireland,1,1,0,1.0,0.0
Mercantile Cricket Association Ground,Zimbabwe,2,1,1,0.5,0.5
Nondescripts Cricket Club Ground,Pakistan,4,1,3,0.25,0.75
Nondescripts Cricket Club Ground,South Africa,2,2,0,1.0,0.0
Mercantile Cricket Association Ground,South Africa,2,2,0,1.0,0.0
P Sara Oval,Bangladesh,5,1,4,0.2,0.8
Nondescripts Cricket Club Ground,Papua New Guinea,2,0,2,0.0,1.0
P Sara Oval,Ireland,1,0,1,0.0,1.0
Mercantile Cricket Association Ground,Thailand,2,0,2,0.0,1.0
P Sara Oval,Zimbabwe,1,0,1,0.0,1.0
Mercantile Cricket Association Ground,Sri Lanka,2,1,1,0.5,0.5
Colombo Cricket Club Ground,Pakistan,2,2,0,1.0,0.0
Nondescripts Cricket Club Ground,Bangladesh,2,0,2,0.0,1.0
Nondescripts Cricket Club Ground,India,2,2,0,1.0,0.0
Dubai International Cricket Stadium,Hong Kong,6,1,5,0.17,0.83
Mangaung Oval,Bangladesh,5,0,5,0.0,1.0
Boland Park,Bangladesh,1,0,1,0.0,1.0
Buffalo Park,Bangladesh,1,0,1,0.0,1.0
Kingsmead,Australia,10,7,3,0.7,0.3
The Wanderers Stadium,Australia,3,2,1,0.67,0.33
Sharjah Cricket Stadium,Peshawar Zalmi,14,8,5,0.57,0.36
Gaddafi Stadium,Quetta Gladiators,4,0,4,0.0,1.0
"Queen's Park Oval, Port of Spain",Pakistan,3,2,1,0.67,0.33
"Sabina Park, Kingston",Pakistan,4,2,2,0.5,0.5
ICC Global Cricket Academy,United Arab Emirates,2,0,2,0.0,1.0
ICC Global Cricket Academy,Ireland,2,2,0,1.0,0.0
Dower Park,Indonesia,1,0,1,0.0,1.0
Dower Park,Vanuatu,1,1,0,1.0,0.0
Queen Elizabeth II Oval,Vanuatu,1,1,0,1.0,0.0
Queen Elizabeth II Oval,Samoa,1,0,1,0.0,1.0
White Hills Oval,Fiji,1,1,0,1.0,0.0
White Hills Oval,Indonesia,1,0,1,0.0,1.0
Canterbury Park,Indonesia,1,0,1,0.0,1.0
Canterbury Park,Samoa,1,1,0,1.0,0.0
White Hills Oval,Japan,1,0,1,0.0,1.0
White Hills Oval,Philippines,1,1,0,1.0,0.0
Maharashtra Cricket Association Stadium,Mumbai Indians,3,2,1,0.67,0.33
Holkar Cricket Stadium,Kings XI Punjab,8,4,4,0.5,0.5
Holkar Cricket Stadium,Rising Pune Supergiant,1,0,1,0.0,1.0
M.Chinnaswamy Stadium,Delhi Daredevils,2,0,2,0.0,1.0
Holkar Cricket Stadium,Royal Challengers Bangalore,2,1,1,0.5,0.5
Saurashtra Cricket Association Stadium,Rising Pune Supergiant,1,0,1,0.0,1.0
Wankhede Stadium,Gujarat Lions,2,1,1,0.5,0.5
M Chinnaswamy Stadium,Rising Pune Supergiant,1,1,0,1.0,0.0
Saurashtra Cricket Association Stadium,Royal Challengers Bangalore,2,1,1,0.5,0.5
Holkar Cricket Stadium,Mumbai Indians,2,2,0,1.0,0.0
Eden Gardens,Gujarat Lions,2,2,0,1.0,0.0
Wankhede Stadium,Delhi Daredevils,8,2,6,0.25,0.75
Wankhede Stadium,Rising Pune Supergiant,2,2,0,1.0,0.0
M Chinnaswamy Stadium,Gujarat Lions,3,1,2,0.33,0.67
"Punjab Cricket Association IS Bindra Stadium, Mohali",Sunrisers Hyderabad,2,2,0,1.0,0.0
Saurashtra Cricket Association Stadium,Mumbai Indians,1,0,0,0.0,0.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",Delhi Daredevils,2,0,2,0.0,1.0
Maharashtra Cricket Association Stadium,Gujarat Lions,2,1,1,0.5,0.5
Feroz Shah Kotla,Gujarat Lions,3,1,2,0.33,0.67
M Chinnaswamy Stadium,Kolkata Knight Riders,11,6,5,0.55,0.45
"Punjab Cricket Association IS Bindra Stadium, Mohali",Gujarat Lions,2,2,0,1.0,0.0
"Punjab Cricket Association IS Bindra Stadium, Mohali",Kolkata Knight Riders,2,1,1,0.5,0.5
Green Park,Gujarat Lions,4,2,2,0.5,0.5
Green Park,Delhi Daredevils,1,1,0,1.0,0.0
Feroz Shah Kotla,Rising Pune Supergiant,1,0,1,0.0,1.0
Green Park,Sunrisers Hyderabad,1,1,0,1.0,0.0
R Premadasa Stadium,Bangladesh,5,1,4,0.2,0.8
Grace Road,West Indies,3,1,2,0.33,0.67
Grace Road,Australia,3,3,0,1.0,0.0
Grace Road,India,1,0,1,0.0,1.0
Grace Road,Sri Lanka,1,1,0,1.0,0.0
International Sports Stadium,England,1,0,1,0.0,1.0
North Sydney Oval,England,2,1,1,0.5,0.5
North Sydney Oval,Australia,8,8,0,1.0,0.0
Edgbaston,Hampshire,3,0,3,0.0,1.0
Willowmoore Park,Nigeria,2,1,1,0.5,0.5
Willowmoore Park,Tanzania,2,2,0,1.0,0.0
Willowmoore Park B Field,Ghana,3,2,1,0.67,0.33
Willowmoore Park B Field,Sierra Leone,2,0,2,0.0,1.0
Willowmoore Park C Field,Botswana,2,2,0,1.0,0.0
Willowmoore Park C Field,Zambia,2,0,2,0.0,1.0
Willowmoore Park,Sierra Leone,2,0,2,0.0,1.0
Willowmoore Park,Zambia,2,1,1,0.5,0.5
Willowmoore Park B Field,Nigeria,2,0,1,0.0,0.5
Willowmoore Park C Field,Tanzania,2,0,2,0.0,1.0
Willowmoore Park,Botswana,1,0,1,0.0,1.0
Willowmoore Park,Ghana,2,1,1,0.5,0.5
Willowmoore Park B Field,Tanzania,1,1,0,1.0,0.0
Willowmoore Park B Field,Zambia,1,0,1,0.0,1.0
Willowmoore Park C Field,Nigeria,1,1,0,1.0,0.0
Willowmoore Park C Field,Sierra Leone,1,0,1,0.0,1.0
Willowmoore Park B Field,Botswana,2,1,0,0.5,0.0
Willowmoore Park C Field,Ghana,2,2,0,1.0,0.0
"Grange Cricket Club Ground, Raeburn Place",Zimbabwe,2,1,1,0.5,0.5
Royal Chiangmai Golf Club,Qatar,1,1,0,1.0,0.0
Royal Chiangmai Golf Club,Kuwait,2,1,1,0.5,0.5
Prem Tinsulanonda International School,Bahrain,2,2,0,1.0,0.0
Prem Tinsulanonda International School,Thailand,1,0,1,0.0,1.0
Royal Chiangmai Golf Club,Bahrain,3,1,2,0.33,0.67
Royal Chiangmai Golf Club,China,1,0,1,0.0,1.0
Prem Tinsulanonda International School,Bhutan,1,0,1,0.0,1.0
Prem Tinsulanonda International School,Saudi Arabia,1,1,0,1.0,0.0
Gymkhana Club,China,1,0,1,0.0,1.0
Prem Tinsulanonda International School,China,1,0,1,0.0,1.0
Gymkhana Club,Kuwait,2,1,1,0.5,0.5
Gymkhana Club,Bhutan,1,0,1,0.0,1.0
Gymkhana Club,Thailand,1,1,0,1.0,0.0
Royal Chiangmai Golf Club,Bhutan,1,0,1,0.0,1.0
North-West University No1 Ground,India,3,3,0,1.0,0.0
Senwes Park,Ireland,2,0,2,0.0,1.0
New Strabane Park,Northern Knights,2,0,1,0.0,0.5
"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",Leinster Lightning,1,0,0,0.0,0.0
"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",Northern Knights,2,1,0,0.5,0.0
"Bready Cricket Club, Magheramason, Bready",Leinster Lightning,10,7,1,0.7,0.1
"Merrion Cricket Club Ground, Dublin",Northern Knights,1,0,1,0.0,1.0
"Merrion Cricket Club Ground, Dublin",Leinster Lightning,2,1,1,0.5,0.5
"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast",Leinster Lightning,1,1,0,1.0,0.0
"Instonians Cricket Club, Shaw's Bridge Lower Ground, Belfast",Northern Knights,1,0,1,0.0,1.0
"Merrion Cricket Club Ground, Dublin",North-West Warriors,1,1,0,1.0,0.0
"Church of Ireland Young Men's Society Cricket Club Ground, Belfast",North-West Warriors,1,0,1,0.0,1.0
Sano International Cricket Ground,Vanuatu,6,1,5,0.17,0.83
Lugogo Cricket Oval,Canada,2,1,0,0.5,0.0
Lugogo Cricket Oval,Oman,2,0,1,0.0,0.5
Entebbe Cricket Oval,Singapore,4,0,4,0.0,1.0
Lugogo Cricket Oval,United States of America,1,0,1,0.0,1.0
Lugogo Cricket Oval,Singapore,1,1,0,1.0,0.0
Kyambogo Cricket Oval,Oman,1,1,0,1.0,0.0
Lugogo Cricket Oval,Malaysia,1,0,1,0.0,1.0
Entebbe Cricket Oval,Oman,1,1,0,1.0,0.0
Kyambogo Cricket Oval,Singapore,2,1,0,0.5,0.0
Kyambogo Cricket Oval,Canada,1,0,1,0.0,1.0
Kyambogo Cricket Oval,United States of America,1,0,0,0.0,0.0
"Headingley, Leeds",Yorkshire Diamonds,7,2,5,0.29,0.71
"Headingley, Leeds",Lancashire Thunder,2,1,1,0.5,0.5
"The Cooper Associates County Ground, Taunton",Loughborough Lightning,2,0,2,0.0,1.0
"Kennington Oval, London",Yorkshire Diamonds,2,0,2,0.0,1.0
"County Ground, Derby",Southern Vipers,5,3,2,0.6,0.4
"County Ground, Derby",Loughborough Lightning,1,0,1,0.0,1.0
"Old Trafford, Manchester",Surrey Stars,2,2,0,1.0,0.0
"Old Trafford, Manchester",Lancashire Thunder,4,0,4,0.0,1.0
"Stanley Park, Blackpool",Loughborough Lightning,1,1,0,1.0,0.0
"The Rose Bowl, Southampton",Surrey Stars,2,1,1,0.5,0.5
"Clifton Park Ground, York",Yorkshire Diamonds,3,2,1,0.67,0.33
"Clifton Park Ground, York",Western Storm,1,1,0,1.0,0.0
"Aigburth, Liverpool",Southern Vipers,3,2,1,0.67,0.33
Arundel Castle Cricket Club Ground,Yorkshire Diamonds,1,0,1,0.0,1.0
"Kennington Oval, London",Loughborough Lightning,1,1,0,1.0,0.0
"County Ground, Bristol",Lancashire Thunder,1,0,1,0.0,1.0
"County Ground, Hove",Surrey Stars,4,3,1,0.75,0.25
"Daren Sammy National Cricket Stadium, Gros Islet",Jamaica Tallawahs,5,4,1,0.8,0.2
"Warner Park, Basseterre",St Lucia Stars,1,0,0,0.0,0.0
Providence Stadium,Barbados Tridents,5,2,3,0.4,0.6
Providence Stadium,St Lucia Stars,2,0,2,0.0,1.0
"Kensington Oval, Bridgetown",St Lucia Stars,2,1,1,0.5,0.5
VRA Ground,Austria,1,1,0,1.0,0.0
VRA Ground,Sweden,1,0,1,0.0,1.0
Zahur Ahmed Chowdhury Stadium,Australia,1,1,0,1.0,0.0
Galle International Stadium,Zimbabwe,2,1,1,0.5,0.5
"R.Premadasa Stadium, Khettarama",Zimbabwe,1,0,1,0.0,1.0
Buffalo Park,Kenya,2,1,1,0.5,0.5
Buffalo Park,Netherlands,2,1,1,0.5,0.5
"Mission Road Ground, Mong Kok",Nepal,1,0,1,0.0,1.0
Sinhalese Sports Club Ground,India,5,2,1,0.4,0.2
"Brisbane Cricket Ground, Woolloongabba",Sydney Thunder,6,1,4,0.17,0.67
Sydney Cricket Ground,Adelaide Strikers,7,3,4,0.43,0.57
Sydney Showground Stadium,Hobart Hurricanes,5,2,2,0.4,0.4
W.A.C.A. Ground,Melbourne Renegades,5,1,4,0.2,0.8
W.A.C.A. Ground,Hobart Hurricanes,1,0,1,0.0,1.0
Manuka Oval,Melbourne Renegades,5,2,3,0.4,0.6
Melbourne Cricket Ground,Hobart Hurricanes,18,6,12,0.33,0.67
Bay Oval,England,2,1,1,0.5,0.5
University Oval,England,4,1,2,0.25,0.5
Basin Reserve,West Indies,3,0,3,0.0,1.0
Cobham Oval (New),West Indies,1,0,1,0.0,1.0
Hagley Oval,West Indies,4,1,3,0.25,0.75
University Oval,Pakistan,2,0,2,0.0,1.0
Bay Oval,Pakistan,2,1,1,0.5,0.5
New Williamfield No1 Oval,Scotland,2,1,1,0.5,0.5
Willowmoore Park,Qatar,2,2,0,1.0,0.0
Willowmoore Park,Cayman Islands,1,0,1,0.0,1.0
Willowmoore Park,Germany,1,0,1,0.0,1.0
Willowmoore Park,Jersey,2,2,0,1.0,0.0
Willowmoore Park A Field,Vanuatu,1,0,1,0.0,1.0
Willowmoore Park A Field,Ghana,1,1,0,1.0,0.0
Willowmoore Park C Field,Qatar,2,0,2,0.0,1.0
Willowmoore Park C Field,Italy,1,1,0,1.0,0.0
Willowmoore Park,Guernsey,2,1,1,0.5,0.5
Willowmoore Park A Field,Germany,1,1,0,1.0,0.0
Willowmoore Park B Field,Italy,1,0,1,0.0,1.0
Willowmoore Park C Field,Jersey,1,1,0,1.0,0.0
Willowmoore Park B Field,Guernsey,1,0,1,0.0,1.0
Willowmoore Park B Field,Germany,1,1,0,1.0,0.0
Willowmoore Park,Vanuatu,1,0,1,0.0,1.0
Gliderol Stadium,Hobart Hurricanes,1,0,1,0.0,1.0
North Dalton Park,Sydney Sixers,1,0,1,0.0,1.0
North Dalton Park,Perth Scorchers,1,1,0,1.0,0.0
Allan Border Field,Perth Scorchers,4,1,3,0.25,0.75
Lilac Hill Park,Sydney Sixers,2,0,2,0.0,1.0
Camberwell Sports Ground,Sydney Sixers,1,1,0,1.0,0.0
Casey Fields No. 4,Adelaide Strikers,1,1,0,1.0,0.0
W.A.C.A. Ground,Sydney Thunder,2,0,2,0.0,1.0
Hurstville Oval,Brisbane Heat,3,2,1,0.67,0.33
Lilac Hill Park,Hobart Hurricanes,3,1,2,0.33,0.67
Allan Border Field,Sydney Thunder,1,1,0,1.0,0.0
Perth Stadium,Sydney Thunder,7,4,3,0.57,0.43
Hagley Oval,Otago,6,1,5,0.17,0.83
Bay Oval,Auckland,1,0,1,0.0,1.0
Basin Reserve,Northern Districts,6,2,4,0.33,0.67
Mainpower Oval,Central Districts,1,0,1,0.0,1.0
Bay Oval,Central Districts,2,2,0,1.0,0.0
Pukekura Park,Otago,2,1,1,0.5,0.5
Hagley Oval,Wellington,5,2,3,0.4,0.6
Queen's Park,Central Districts,1,1,0,1.0,0.0
Queen's Park,Otago,1,0,1,0.0,1.0
Basin Reserve,Central Districts,5,3,2,0.6,0.4
Eden Park Outer Oval,Otago,6,2,4,0.33,0.67
Melbourne Cricket Ground,Tasmania,4,1,0,0.25,0.0
Melbourne Cricket Ground,Victoria,12,5,3,0.42,0.25
"Cazaly's Stadium, Cairns",South Australia,1,0,0,0.0,0.0
"Cazaly's Stadium, Cairns",Queensland,1,0,0,0.0,0.0
"Western Australia Cricket Association Ground, Perth",New South Wales,4,1,2,0.25,0.5
"Gliderol Stadium, Adelaide",Western Australia,1,1,0,1.0,0.0
"Gliderol Stadium, Adelaide",South Australia,3,0,2,0.0,0.67
"Allan Border Field, Brisbane",Tasmania,3,0,2,0.0,0.67
Wanderers Cricket Ground,Tanzania,4,0,4,0.0,1.0
"MA Chidambaram Stadium, Chepauk",Australia,3,1,2,0.33,0.67
Eden Gardens,Australia,2,0,2,0.0,1.0
Holkar Cricket Stadium,Australia,1,0,1,0.0,1.0
Barsapara Cricket Stadium,India,5,1,4,0.2,0.8
Barsapara Cricket Stadium,Australia,1,1,0,1.0,0.0
Lord's,Pakistan,14,8,5,0.57,0.36
Riverside Ground,Australia,7,1,6,0.14,0.86
Maharashtra Cricket Association Stadium,New Zealand,1,0,1,0.0,1.0
Arun Jaitley Stadium,New Zealand,1,0,1,0.0,1.0
Saurashtra Cricket Association Stadium,New Zealand,1,1,0,1.0,0.0
Greenfield International Stadium,New Zealand,1,0,1,0.0,1.0
Cello Basin Reserve,Auckland Aces,4,1,1,0.25,0.25
